school,season,prev winScore,winScore,prev scoreDiff,scoreDiff
Cornell,2009,1,1,-24,-19
New Mexico State,2014,1,1,-20,-4
Stanford,1996,3,3,-20,3
Illinois,1987,3,1,22,-1
Cincinnati,1999,3,3,2,14
Duke,2011,127,7,87,28
Florida,1989,3,1,-20,-22
Florida,2013,15,15,66,38
Arizona,2014,7,15,37,37
Arkansas,1989,1,3,-8,10
Duke,2006,7,7,9,21
Texas,2012,3,1,3,-6
UCLA,1992,1,15,-5,16
Temple,2000,15,3,18,24
Gonzaga,2014,3,3,0,-15
Oklahoma State,2015,1,1,-8,-6
Missouri,1995,15,3,26,4
Manhattan,2004,1,3,-11,11
Iowa State,2015,7,1,15,-1
Indiana,1990,7,1,24,-2
DePaul,1992,1,1,-17,-8
Colorado,2013,3,1,-13,-8
California,1994,7,1,-10,-4
Arizona,1993,1,1,-7,-3
New Mexico,1994,1,1,-14,-3
Wofford,2011,1,1,-4,-8
North Carolina A&T,1988,1,1,-17,-14
Kentucky,1998,63,127,76,80
Purdue,2012,3,3,4,0
Temple,2011,1,3,-13,-5
Kansas,1991,3,63,7,46
Michigan State,2009,7,63,4,29
Texas,2016,1,1,-8,-3
Oklahoma,2001,3,1,10,-2
Syracuse,1992,1,3,-4,2
California-Santa Barbara,2011,1,1,-17,-28
Vanderbilt,1989,7,1,-4,-16
Green Bay,1996,1,1,-1,-13
Texas,1990,3,15,-13,23
Maryland,1995,7,7,9,28
Pepperdine,1986,1,1,-13,-5
Brigham Young,2008,1,1,-2,-5
Georgetown,1991,3,3,15,2
Syracuse,2004,127,7,54,-2
Michigan,2013,1,63,-5,61
Belmont,2012,1,1,-14,-15
UAB,1987,3,1,-16,-22
Richmond,1991,1,3,-35,-9
Pittsburgh,1988,3,3,22,12
Louisiana State,1988,15,1,20,-3
Connecticut,2006,3,15,3,21
Temple,1992,15,1,36,-7
Arkansas,1999,3,3,3,4
Connecticut,2000,127,3,71,-6
Memphis,2013,1,3,-7,-20
Albany,2014,1,1,-12,-5
Santa Clara,1996,1,3,-8,-13
San Diego State,2014,3,7,5,17
Duke,1992,127,127,84,75
Massachusetts,1993,7,3,23,-11
Indiana,1999,3,3,-3,-5
Nevada-Las Vegas,1990,15,127,5,112
Washington,2006,7,7,15,11
Fresno State,2001,1,3,-10,-4
Louisville,2012,1,31,-1,19
Marquette,1994,1,7,-12,24
Valparaiso,1999,7,1,1,-22
Purdue,1997,3,3,-5,-7
Ohio State,2002,1,3,-9,-11
Pennsylvania,1995,3,1,-2,-6
Oklahoma State,1994,3,3,-3,8
Florida,2000,7,63,21,38
Arizona,2004,15,1,44,-4
Arizona,1998,127,15,32,55
Michigan State,2014,7,15,23,18
North Carolina,2008,15,31,33,83
Tulsa,1987,1,1,-19,-5
Cincinnati,2005,3,3,-21,3
Boston College,1997,3,3,-1,3
Kansas,2001,3,7,-1,37
Oregon,2016,3,15,-1,46
Ohio State,2007,3,63,-10,43
Oklahoma State,2000,3,15,1,18
Kansas,2002,7,31,37,47
Mississippi,1998,1,1,-22,-1
Clemson,2009,1,1,-6,-3
Illinois,2001,3,15,-7,70
Virginia Commonwealth,2016,1,3,-3,4
Georgetown,2008,31,3,38,15
Syracuse,2013,15,31,17,75
Notre Dame,2002,3,3,9,12
Michigan,1988,3,7,3,19
Vanderbilt,2008,7,1,36,-21
Texas Tech,2005,3,7,-2,9
Villanova,2016,3,127,38,124
Michigan,1994,63,15,43,8
Stanford,2008,1,7,-20,5
Arkansas,1995,127,63,67,11
Duke,1999,15,63,53,123
Memphis,2004,1,3,-13,-1
Florida,2001,63,3,38,-8
Purdue,2009,3,7,4,-5
Valparaiso,2000,1,1,-22,-27
Wisconsin,2016,63,7,37,2
Duke,2000,63,7,123,23
Wisconsin,2006,15,1,17,-19
Colorado,2014,1,1,-8,-29
Arkansas-Little Rock,1990,1,1,-5,-30
Indiana,2000,3,1,-5,-20
Texas-El Paso,2005,1,1,-3,-6
Gonzaga,2002,7,1,3,-7
New Mexico State,1994,3,1,-23,-10
Marquette,2003,1,31,-2,-3
Kentucky,2008,3,1,-3,-8
"St. Joseph's, Pennsylvania",2004,1,15,-2,26
Southern Illinois,1994,1,1,-35,-14
Brigham Young,2004,1,1,-5,-5
Texas,2003,7,31,15,33
DePaul,1988,7,3,17,13
Louisiana-Monroe,1993,1,1,-30,-13
North Carolina,1998,31,31,46,66
Wisconsin,2005,3,15,8,17
Michigan State,1991,7,3,7,1
Kentucky,1986,7,15,-5,30
Iowa State,2014,3,7,15,15
Alabama,2004,1,15,-5,-3
Cincinnati,1997,15,3,25,16
Arizona,2001,3,63,17,71
Kansas,1995,7,7,35,10
Baylor,2015,7,1,27,-1
Tennessee,2001,7,1,14,-7
Navy,1986,3,15,18,11
Georgetown,1992,3,3,2,5
Syracuse,2010,7,7,13,41
Alabama,1987,7,7,14,21
Southern,1989,1,1,-15,-14
Kent State,2002,3,15,-19,14
Louisville,1993,3,7,7,8
Stanford,2001,3,15,12,35
Illinois,1988,1,3,-1,6
Connecticut,1992,7,3,19,-2
Texas-El Paso,1989,1,3,-16,-12
Notre Dame,1989,1,3,-8,9
"Xavier, Ohio",2003,3,3,-1,-1
Seton Hall,1989,3,63,-13,75
Pittsburgh,2008,7,3,17,8
Tennessee,1999,1,3,-1,-20
Western Kentucky,2013,1,1,-14,-7
Temple,1994,15,3,28,13
Providence,2016,1,3,-13,-18
Memphis,1993,15,1,-15,-3
Villanova,1986,127,3,30,4
Davidson,2013,1,1,-7,-1
East Tennessee State,1990,1,1,-1,-16
Gonzaga,2009,1,7,-6,-6
Northern Iowa,2005,1,1,-5,-5
Oklahoma,2016,7,31,11,0
Indiana,1987,1,127,-4,63
Boston College,2006,3,7,12,24
West Virginia,2009,7,1,12,-8
California,1997,1,7,-10,4
Texas,1995,3,3,9,3
Arizona,1986,1,1,-9,-10
New Mexico,1999,3,3,7,-20
Wake Forest,1997,15,3,-4,16
UCLA,1997,1,15,-2,40
North Carolina State,2006,7,3,6,-15
"Xavier, Ohio",1990,1,7,-5,-2
Mississippi State,1996,7,31,3,36
Southern California,2008,7,1,26,-13
Harvard,2013,1,3,-9,-17
Oklahoma State,2014,1,1,-13,-8
Oklahoma,2006,3,1,8,-8
"Miami, Florida",1999,1,3,-3,11
Wake Forest,2003,3,3,4,-3
Wichita State,2015,3,7,25,7
"Xavier, Ohio",2008,3,15,-5,4
Villanova,2007,15,1,5,-9
Wisconsin,2009,7,3,15,-9
UAB,2006,3,1,-8,-5
Dayton,2015,15,3,3,8
Stanford,1998,7,31,14,37
Maryland,1998,1,7,-9,12
Cincinnati,1993,31,15,79,74
Duke,2009,3,7,-5,6
Texas-El Paso,1986,3,1,-9,-18
George Washington,2007,3,1,-10,-33
Murray State,1991,1,1,-4,-10
North Carolina State,2013,7,1,14,-4
Ohio State,2012,7,31,59,46
Louisville,2010,15,1,54,-15
North Carolina State,1989,1,7,-3,13
"Charleston, South Carolina",1999,1,1,-10,-9
Arkansas,1991,31,15,18,59
"St. John's, New York",1999,1,15,-2,62
Michigan State,2002,31,1,53,-11
Buffalo,2016,1,1,-6,-7
Winthrop,2006,1,1,-10,-2
Gonzaga,2016,15,7,26,36
Villanova,1997,3,3,30,3
Massachusetts,1998,1,1,-8,-5
Marquette,2013,7,15,19,-3
Missouri,1989,1,7,-7,32
"St. John's, New York",2000,15,3,62,-1
Indiana,1988,127,1,63,-3
Wichita State,2013,1,31,-3,38
West Virginia,2006,15,7,5,28
Arizona,1995,31,1,62,-9
Wisconsin,2011,3,7,-14,12
UCLA,1990,3,7,3,4
North Carolina State,2015,1,7,12,-6
Virginia,1991,3,1,6,-13
Michigan State,2011,31,1,11,-2
Oral Roberts,2007,1,1,-16,-16
North Carolina,1986,15,7,15,15
Wake Forest,2010,1,3,-15,-29
Kansas State,2013,3,1,-10,-2
Oklahoma,2015,1,7,-5,11
Indiana,2003,63,3,38,-17
Oregon,2015,3,3,11,-1
Kansas,2015,3,3,8,6
Central Florida,2005,1,1,-9,-6
Illinois,1994,3,1,-14,-7
Georgia Tech,1992,3,7,13,2
Duke,2002,127,7,100,53
Georgetown,1989,3,15,-18,8
Syracuse,2006,1,1,-3,-8
Butler,2008,7,3,6,15
Kentucky,1996,15,127,79,129
Georgia,1991,1,1,-12,-8
Louisville,2005,1,31,-10,35
Creighton,2002,1,3,-13,-11
Louisiana State,1986,1,31,-23,6
Connecticut,2004,7,127,12,80
Western Kentucky,2003,1,1,-16,-5
Utah,2005,1,7,-7,5
Florida,2004,3,1,8,-15
San Diego State,2012,7,1,18,-14
Texas Southern,1995,1,1,-12,-1
Cincinnati,2014,1,1,-4,-4
Southern Illinois,2007,1,7,-18,22
Indiana,1997,1,1,-13,-18
"St. John's, New York",1992,15,1,15,-4
California,2003,3,3,-6,-7
Iowa,1986,1,1,-9,-2
Kentucky,2007,3,3,1,-3
Nevada,2007,1,3,-8,-10
Florida State,1993,7,15,9,21
Arizona,2006,15,3,35,15
Mississippi,2002,7,1,-5,-22
UCLA,2009,31,3,59,-19
Oklahoma,1990,7,3,38,7
Vermont,2004,1,1,-29,-17
Louisiana-Lafayette,2005,1,1,-9,-6
St. Louis,1995,1,3,-8,-2
Brigham Young,2015,1,1,-19,-4
Kansas,2004,63,15,72,58
Maryland,2000,7,3,20,-20
Kansas,2013,63,7,28,17
Wisconsin,2015,31,63,65,37
Michigan,1986,3,3,0,3
Nebraska,1993,1,1,-21,-14
Louisville,1996,1,7,-21,5
Connecticut,1999,15,127,8,71
Duke,1997,1,3,-15,-8
Utah,1996,3,7,-2,4
Florida,2003,1,3,-1,8
Georgia,2002,1,3,-2,15
Temple,1999,1,15,-30,18
Missouri,2011,3,1,-1,-15
Memphis,1996,7,1,18,-12
Alabama,2003,3,1,-5,-5
Davidson,2008,1,15,-12,25
Gonzaga,2004,3,3,4,8
California,2010,1,3,-13,0
Washington,1999,7,1,21,-1
Iowa,1992,3,3,-12,-7
Iowa,1993,3,3,-7,7
Duke,2012,7,1,28,-5
Holy Cross,2002,1,1,-4,-11
Purdue,1996,3,3,-1,-5
Iowa State,1993,3,1,-6,-11
Ohio State,2011,7,7,23,59
DePaul,1986,1,7,-5,2
Kansas State,1989,15,1,11,-11
North Carolina,1996,31,3,48,2
Navy,1987,15,1,11,-15
Wake Forest,1992,3,1,-2,-23
UCLA,2002,7,7,5,17
Texas,2000,1,3,-4,11
Missouri State,1989,1,1,-4,-9
Kansas,1997,15,7,63,25
Auburn,1986,7,15,-3,25
Virginia,1987,1,1,-4,-4
Nevada,2005,7,3,20,-8
Syracuse,1988,63,3,47,11
Connecticut,1995,7,15,21,38
Albany,2007,1,1,-13,-27
New Mexico State,2015,1,1,-4,-19
Louisiana-Monroe,1992,1,1,-29,-30
Illinois,1990,31,1,33,-2
Cincinnati,1996,3,15,1,25
Georgia Tech,2005,63,3,14,-10
Texas A&M,2011,3,1,14,-7
Michigan State,2005,1,31,-6,19
Notre Dame,1987,1,7,-7,8
Albany,2015,1,1,-5,-9
Delaware,1999,1,1,-39,-10
Texas Tech,1986,1,1,-2,-6
Pittsburgh,2010,15,3,21,20
Iowa State,2013,3,3,-3,15
Notre Dame,1990,3,1,9,-8
Towson,1991,1,1,-9,-11
Oregon State,1990,1,1,-4,-1
Missouri,2000,1,1,-2,-14
"Xavier, Ohio",2015,1,7,-15,19
Baylor,2016,1,1,-1,-4
Minnesota,2010,1,1,-14,-11
Tennessee,2011,15,1,20,-30
Marquette,2010,3,1,-3,-2
Texas Southern,2015,1,1,-12,-21
Arkansas,1996,63,7,11,-1
Iowa State,1986,1,7,-11,1
Temple,1997,3,3,5,3
Nevada-Las Vegas,2012,1,1,-11,-4
West Virginia,2011,31,3,35,0
Long Island-Brooklyn,2012,1,1,-15,-22
North Carolina,2007,3,15,-1,33
New Mexico,1997,3,3,10,3
UCLA,1995,1,127,-10,86
Texas,2011,1,3,-1,3
"Xavier, Ohio",1988,3,1,-4,-13
Ohio State,1992,7,15,-2,53
North Carolina State,1988,1,1,-12,-3
Kansas,1986,3,31,9,61
Michigan State,2004,15,1,30,-6
Oklahoma,2002,1,31,-2,39
Tennessee,2008,7,7,37,1
Morgan State,2010,1,1,-28,-27
Hawaii,2002,1,1,-10,-12
Winthrop,2001,1,1,-14,-4
Kansas,2008,15,127,42,85
Brigham Young,2009,1,1,-5,-13
Maryland,1996,7,1,28,-12
Cincinnati,1995,1,3,-8,1
Duke,2015,1,127,-7,93
Georgetown,1986,63,3,76,-6
Wisconsin,2013,7,1,26,-11
Notre Dame,2012,3,1,-1,-4
New Mexico State,1992,1,7,-8,9
Oakland,2011,1,1,-23,-4
Seton Hall,1994,3,1,18,-11
Louisville,2008,3,15,17,57
Louisiana State,1991,3,1,4,-17
Cincinnati,2001,3,7,9,35
Providence,2015,1,1,-2,-13
Memphis,1986,31,3,10,30
Texas,2010,3,1,9,-1
"St. Mary's, California",2013,1,1,-3,11
Villanova,2010,31,3,44,-4
"Xavier, Ohio",1991,7,3,-2,-11
Massachusetts,1996,15,31,50,60
Ball State,1990,3,7,-8,1
Illinois,1998,3,3,1,7
Purdue,1986,1,1,-1,-7
Idaho,1990,1,1,-12,-19
Indiana,1994,15,7,53,12
Nevada-Las Vegas,1987,7,31,22,57
North Carolina,1989,15,7,35,16
Washington,2011,7,3,7,0
North Carolina,2014,3,3,-5,0
Iowa,1989,7,3,2,8
Kentucky,2002,7,7,13,10
Purdue,2008,3,3,2,4
"Xavier, Ohio",2010,7,7,24,9
Florida State,2010,1,1,-2,-7
Oklahoma State,1993,7,3,40,-3
Northern Iowa,2016,3,3,4,-1
Arizona,2003,7,15,-8,44
Michigan State,2013,7,7,13,23
UCLA,2014,1,7,-20,23
Tulsa,1996,7,1,-7,-2
Virginia,1995,3,15,-10,32
Murray State,1992,1,1,-10,-11
"Miami, Ohio",1986,1,1,-1,-2
Villanova,2009,7,31,3,44
Maryland,2010,3,3,-6,10
Northern Iowa,2010,1,7,-5,-2
North Carolina State,1986,15,15,19,12
Clemson,2010,1,1,-3,-8
Illinois,2004,3,7,-3,33
Georgia Tech,1987,7,1,14,-6
Temple,1987,3,3,-11,9
Syracuse,2000,1,7,-8,-1
Butler,2010,1,63,-4,31
Murray State,1998,1,1,-3,-23
Belmont,2008,1,1,-25,-1
Portland State,2009,1,1,-24,-18
South Carolina,1998,1,1,-13,-1
Creighton,2000,3,1,-8,-3
Arkansas,1992,15,3,59,9
Duke,1994,3,63,30,43
Utah State,2010,1,1,-1,-16
Indiana,2001,1,1,-20,-4
Virginia,2015,7,3,27,6
Memphis,2009,63,7,71,19
Florida,2006,3,127,-6,96
La Salle,1989,1,1,-13,-9
Western Kentucky,1995,1,3,-14,1
Missouri,2012,1,1,-15,-2
Wofford,2015,1,1,-17,-3
Alabama,2006,1,3,-10,2
Davidson,2007,1,1,-8,-12
Oklahoma State,2002,1,1,-15,-8
Louisiana-Monroe,1991,1,1,-12,-29
California,2013,1,3,-11,-3
North Carolina,2013,15,3,28,-5
Kentucky,2005,3,15,19,21
Brigham Young,2011,3,7,-5,21
St. Louis,2014,3,3,3,-12
North Carolina,1995,3,31,17,48
North Carolina,2006,127,3,83,-1
Michigan State,1986,1,7,-2,4
UCLA,2007,63,31,42,45
Oklahoma,1988,7,63,6,81
Southern California,2002,15,1,12,-4
Oklahoma State,2004,3,31,2,48
Colorado State,1990,3,1,7,-17
Villanova,2014,1,3,-7,8
South Alabama,1998,1,1,-8,-13
Virginia Commonwealth,2012,31,3,52,1
Georgetown,2012,1,3,-18,12
Illinois,2003,7,3,37,-3
Belmont,2007,1,1,-34,-25
Louisville,1994,7,7,8,2
Stanford,2004,3,3,-3,23
Louisiana State,1993,3,1,1,-2
Arkansas,2007,1,1,-4,-17
Duke,1987,63,7,64,6
Utah,1998,15,63,25,48
Wake Forest,1996,7,15,32,-4
Pittsburgh,2005,7,1,1,-8
UCLA,1998,15,7,40,-20
Duke,2004,7,31,32,75
Texas,2004,31,7,33,12
Gonzaga,2006,3,7,8,12
Syracuse,1989,3,15,11,38
Marquette,2007,1,1,-5,-12
Texas,1996,3,3,3,1
Purdue,1998,3,7,-7,46
Ohio State,2013,31,15,46,27
Iona,2013,1,1,-6,-25
West Virginia,2012,3,1,0,-23
North Carolina,1991,7,31,-8,73
Massachusetts,1995,3,15,10,50
Wisconsin,2001,31,1,22,-1
Michigan State,1995,3,1,0,-7
Drexel,1995,1,1,-22,-24
Oregon State,1989,1,1,-9,-4
Oklahoma,1999,1,7,-7,6
Mississippi State,2003,3,1,8,-1
Indiana,2016,1,7,-5,16
Georgetown,1987,3,15,-6,23
Auburn,1988,3,3,-16,-16
Villanova,1991,1,3,-7,-13
Michigan State,2001,127,31,92,53
Tulsa,2000,3,15,-32,40
Harvard,2014,3,3,-17,-3
Cincinnati,2016,3,1,-12,-2
Charlotte,2002,3,1,-11,-19
Syracuse,1990,15,7,38,17
New Mexico State,2013,1,1,-13,-20
UAB,2005,7,3,-23,-8
Louisville,1989,7,7,20,0
Stanford,1997,3,7,3,14
Oregon,2003,15,1,8,-2
Duke,1988,7,31,6,35
Butler,1998,1,1,-17,-17
Florida,1988,7,3,25,-20
"Xavier, Ohio",2002,1,3,-12,-1
Pennsylvania,2006,1,1,-20,-8
Louisville,2015,7,15,17,19
Cincinnati,2004,1,3,-5,-21
"St. John's, New York",1986,31,3,34,-7
"Pacific, California",2006,3,1,-10,-12
Missouri,2002,3,15,-11,32
Michigan State,2003,1,15,-11,30
Memphis,1989,3,1,-12,-3
Temple,2001,3,15,24,40
Gonzaga,2013,3,3,16,0
Kentucky,2012,31,127,18,71
Arizona,2016,15,1,37,-10
Marquette,2008,1,3,-12,7
Purdue,1991,3,1,11,-17
Hofstra,2001,1,1,-20,-13
Temple,1995,3,1,13,-6
Winthrop,2008,3,1,-4,-31
North Carolina,2005,3,127,8,83
Wisconsin,2008,3,7,7,15
Arizona,1996,1,7,-9,50
Kentucky,1993,15,31,36,121
Michigan State,1992,3,3,1,-5
Brigham Young,1991,1,3,-2,-2
Holy Cross,2003,1,1,-11,-4
Villanova,1996,1,3,-8,30
Michigan State,2006,31,1,19,-10
Kansas State,2014,1,1,-2,-7
Tulsa,1995,7,7,-7,-7
Oklahoma,2000,7,3,6,10
Princeton,1990,1,1,-1,-4
Oklahoma,1987,3,7,1,6
Long Island-Brooklyn,2013,1,1,-22,-13
Syracuse,1999,7,1,-1,-8
Kentucky,2003,7,15,10,43
Green Bay,1995,3,1,-1,-1
Drexel,1996,1,3,-24,1
Southern Illinois,2005,1,3,-1,1
Robert Morris,1990,1,1,-34,-8
Duke,2013,1,15,-5,16
Syracuse,2005,7,1,-2,-3
Virginia,1994,7,3,10,-10
Michigan,2012,3,1,28,-5
Texas A&M,2010,3,3,-13,14
Louisiana State,1989,1,1,-3,-11
Cincinnati,2003,3,1,34,-5
Duke,2005,31,7,75,9
Memphis,2012,1,1,-2,-7
Winthrop,2002,1,1,-4,-47
North Carolina State,2005,3,7,7,6
Wake Forest,1994,7,3,-5,-1
Alabama,1992,7,3,-5,-4
Massachusetts,1994,3,3,-11,10
UCLA,2000,1,7,-3,19
Temple,1988,3,15,9,47
Texas,2006,1,15,-4,22
Nevada-Las Vegas,1989,3,15,-14,5
